Memory,Read,W1.writes,W2.writes,W3.writes,W1.pushes,W2.pushes
31846400,0,0,0,0,0,0
38481920,6160384,6160384,786432,655360,6160384,720896
47570944,12779520,12779520,1572864,1441792,12779520,1507328
57896960,21692416,21692416,2359296,2228224,21692416,2293760
68501504,30474240,30474240,3211264,3080192,30474240,3145728
77049856,38993920,38993920,3997696,3866624,38993920,3932160
84692992,46202880,46202880,4784128,4653056,46202880,4718592
91918336,53215232,53215232,5505024,5373952,53215232,5439488
100827136,61997056,61997056,6291456,6160384,61997056,6225920
111841280,72417280,72417280,7143424,7012352,72417280,7077888
118579200,80543744,80543744,7929856,7798784,80543744,7864320
123781120,89718784,89718784,8781824,8650752,89718784,8716288
132976640,98828288,98828288,9568256,9437184,98828288,9502720
141373440,106889216,106889216,10420224,10289152,106889216,10354688
150704128,115671040,115671040,11206656,11075584,115671040,11141120
158797824,123797504,123797504,12058624,11927552,123797504,11993088
168366080,132579328,132579328,12845056,12713984,132579328,12779520
176431104,140312576,140312576,13697024,13565952,140312576,13631488
186028032,149553152,149553152,14483456,14352384,149553152,14417920
188551168,158990336,158990336,15269888,15138816,158990336,15204352
196165632,165937152,165937152,16121856,15990784,165937152,16056320
205299712,175439872,175439872,16908288,16777216,175439872,16842752
215625728,185073664,185073664,17760256,17629184,185073664,17694720
225849344,194969600,194969600,18546688,18415616,194969600,18481152
235155456,204079104,204079104,19398656,19267584,204079104,19333120
245555200,213909504,213909504,20185088,20054016,213909504,20119552
254246912,222691328,222691328,21037056,20905984,222691328,20971520
258207744,231079936,231079936,21757952,21626880,231079936,21692416
265756672,240189440,240189440,22609920,22478848,240189440,22544384
276058112,249823232,249823232,23396352,23265280,249823232,23330816
286097408,259129344,259129344,24248320,24117248,259129344,24182784
295178240,267714560,267714560,25034752,24903680,267714560,24969216
304308224,276889600,276889600,25886720,25755648,276889600,25821184
313188352,285671424,285671424,26673152,26542080,285671424,26607616
321740800,293797888,293797888,27525120,27394048,293797888,27459584
327041024,304349184,304349184,28311552,28180480,304349184,28246016
336420864,313655296,313655296,29163520,29032448,313655296,29097984
345567232,322633728,322633728,29949952,29818880,322633728,29884416
355188736,331415552,331415552,30801920,30670848,331415552,30736384
365424640,340459520,340459520,31588352,31457280,340459520,31522816
375382016,348913664,348913664,32440320,32309248,348913664,32374784
385110016,358154240,358154240,33226752,33095680,358154240,33161216
395030528,366739456,366739456,34078720,33947648,366739456,34013184
