Memory,Read,W1.writes,W2.writes,W3.writes
31801344,,,,
32280576,655360,589824,589824,589824
33345536,1310720,1245184,1245184,1245184
33873920,1966080,1966080,1966080,1966080
33873920,2752512,2686976,2686976,2686976
34140160,3538944,3473408,3473408,3473408
35491840,4259840,4194304,4194304,4194304
36032512,4915200,4849664,4849664,4849664
36032512,5636096,5570560,5570560,5570560
36032512,6422528,6356992,6356992,6356992
36032512,7077888,7012352,7012352,7012352
39006208,7667712,7602176,7602176,7602176
39743488,8388608,8323072,8323072,8323072
40550400,9175040,9109504,9109504,9109504
41631744,9895936,9830400,9830400,9830400
42442752,10616832,10551296,10551296,10551296
43794432,11403264,11337728,11337728,11337728
43794432,12058624,11993088,11993088,11993088
43794432,12648448,12582912,12582912,12582912
43794432,13303808,13238272,13238272,13238272
43794432,13893632,13828096,13828096,13828096
43794432,14548992,14483456,14483456,14483456
43794432,15204352,15138816,15138816,15138816
44064768,15925248,15859712,15859712,15859712
44335104,16646144,16580608,16580608,16580608
44597248,17367040,17301504,17301504,17301504
44597248,18153472,18087936,18087936,18087936
45584384,18874368,18808832,18808832,18808832
45584384,19529728,19529728,19529728,19529728
45584384,20250624,20185088,20185088,20185088
45699072,21037056,20971520,20971520,20971520
45699072,21692416,21626880,21626880,21626880
45699072,22413312,22347776,22347776,22347776
45699072,23134208,23068672,23068672,23068672
45916160,23789568,23724032,23724032,23724032
45830144,24313856,24248320,24248320,24248320
45830144,25034752,24969216,24969216,24969216
45830144,25559040,25493504,25493504,25493504
46116864,26148864,26083328,26083328,26083328
46809088,26804224,26738688,26738688,26738688
46809088,27525120,27459584,27459584,27459584
46809088,28246016,28180480,28180480,28180480
46809088,28966912,28901376,28901376,28901376
46809088,29622272,29556736,29556736,29556736
46809088,30343168,30277632,30277632,30277632
47751168,30998528,30932992,30932992,30932992
47693824,31719424,31653888,31653888,31653888
47693824,32374784,32309248,32309248,32309248
47693824,33030144,33030144,33030144,33030144
47693824,33751040,33685504,33685504,33685504
47693824,34406400,34340864,34340864,34340864
48775168,35127296,35061760,35061760,35061760
48775168,35782656,35717120,35717120,35717120
48775168,36569088,36503552,36503552,36503552
48775168,37224448,37158912,37158912,37158912
48775168,37814272,37748736,37748736,37748736
48848896,38404096,38338560,38338560,38338560
48848896,39124992,39059456,39059456,39059456
48848896,39845888,39780352,39780352,39780352
48848896,40435712,40435712,40435712,40435712
48877568,40960000,40894464,40894464,40894464
48754688,41549824,41484288,41484288,41484288
48754688,42270720,42205184,42205184,42205184
48754688,42991616,42926080,42926080,42926080
49836032,43712512,43712512,43712512,43712512
49836032,44433408,44367872,44367872,44367872
49836032,45023232,44957696,44957696,44957696
49836032,45613056,45547520,45547520,45547520
49836032,46399488,46333952,46333952,46333952
49836032,47054848,46989312,46989312,46989312
49836032,47710208,47644672,47644672,47644672
49836032,48365568,48300032,48300032,48300032
49836032,49020928,48955392,48955392,48955392
50049024,49610752,49545216,49545216,49545216
50049024,50266112,50200576,50200576,50200576
50049024,50987008,50921472,50921472,50921472
50049024,51642368,51576832,51576832,51576832
50049024,52232192,52166656,52166656,52166656
50049024,52822016,52756480,52756480,52756480
49979392,53346304,53280768,53280768,53280768
49979392,54001664,53936128,53936128,53936128
49979392,54788096,54722560,54722560,54722560
49979392,55443456,55377920,55377920,55377920
49979392,56164352,56098816,56098816,56098816
49979392,56754176,56688640,56688640,56688640
49979392,57344000,57278464,57278464,57278464
49979392,58064896,57999360,57999360,57999360
49979392,58785792,58720256,58720256,58720256
49860608,59441152,59375616,59375616,59375616
49860608,60096512,60030976,60030976,60030976
